Count,Name,Section,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Scryfall ID
1,Bitter Triumph,main,Tarkir: Dragonstorm Commander,173,Near Mint,English,,,,,,c5333556-eea2-41ae-833e-007b9d540700
1,Bloodghast,main,Aetherdrift,337,Near Mint,English,,,,,,4560bd1f-eb63-45bc-a8c7-b5de200facc9
1,Bloodsoaked Champion,main,Streets of New Capenna Commander,243,Near Mint,English,,,,,,107081ae-dfda-4e54-9963-ac01161cc437
1,Boggart Trawler // Boggart Bog,main,Modern Horizons 3,243,Near Mint,English,,,,,,d0d484a6-5610-4f1d-95ec-eda273c255e4
1,Bojuka Bog,main,Commander 2021,281,Near Mint,English,,,,,,f8435c7e-39ce-48a6-8536-739dd5511a33
1,Carrion Feeder,main,Modern Horizons,81,Near Mint,English,,,,,,0a19da90-880e-4eca-8cf7-6d7baf090d53
1,Champion of the Perished,main,Secret Lair Drop Series,837,Near Mint,English,foil,,,,,e1c35c4d-7af9-467b-ba09-eef26671641b
1,Crypt of Agadeem,main,Tarkir: Dragonstorm Commander,354,Near Mint,English,,,,,,18adafe6-de67-4101-8b39-b53ab695ec4a
1,Cult Conscript,main,Dominaria United,88,Near Mint,English,,,,,,fed77513-94ab-44e2-b9a1-30ba927cd6ee
1,Dark Ritual,main,Urza's Saga,127,Near Mint,English,,,,,,3f0e9d0d-e1a3-4e0a-bf39-e9aaf4d36d67
1,Deathrite Shaman,main,Mystery Booster 2,81,Near Mint,English,,,,,,5514ef3b-8214-43c0-b245-8b7993918858
1,Diregraf Ghoul,main,Foundations,171,Near Mint,English,,,,,,4682012c-d7e0-4257-b538-3de497507464
1,Dread Wanderer,main,Amonkhet,88,Near Mint,English,,,,,,343fc82d-7d10-4489-8f7e-9995322114e2
1,Dreams of Steel and Oil,main,The Brothers' War,92,Near Mint,English,,,,,,261ac92e-c61a-4c11-aa6a-9ae1cb703e5c
1,Dungeon Crawler,main,Adventures in the Forgotten Realms,99,Near Mint,English,,,,,,4138b66d-cf18-42a5-8522-241bd3969624
1,Duress,main,Phyrexia: All Will Be One,92,Near Mint,English,,,,,,3557e601-9b71-4ce9-9047-1a8baa72e574
1,Emperor of Bones,main,Modern Horizons 3,453,Near Mint,English,,,,,,edfbba55-38b1-4994-ba6f-de09af4098dc
1,Fatal Push,main,Aether Revolt,57,Near Mint,English,,,,,,b5e81649-9954-424c-89d1-f87d73b66047
1,Fell the Profane // Fell Mire,main,Modern Horizons 3,244,Near Mint,English,,,,,,a3cb782d-c459-468d-9779-9b5669abc337
1,Forsaken Miner,main,Outlaws of Thunder Junction,88,Near Mint,English,,,,,,1679f74d-00f8-436c-9f8c-aa3f843a546c
1,Go for the Throat,main,Standard Showdown Promos,22,Near Mint,English,foil,,,,,3b25a7a3-a995-4570-ac85-128d215cef9e
1,Graf Reaver,main,Innistrad: Crimson Vow,115,Near Mint,English,,,,,,0bb2103b-3462-4439-a1e1-243a15c5f318
1,Gravecrawler,main,Innistrad Remastered,380,Near Mint,English,,,,,,af50a9a4-a03e-4217-abcc-07c0e5e0f5ef
1,Graveyard Trespasser // Graveyard Glutton,main,Innistrad: Double Feature,104,Near Mint,English,,,,,,66ef5058-af82-4867-a6b6-9e08274bd0d3
1,Gutterbones,main,Ravnica Allegiance,76,Near Mint,English,,,,,,6a1c710b-bd67-4174-ab02-6ae98a7575ac
1,Inquisition of Kozilek,main,Double Masters 2022,355,Near Mint,English,,,,,,599cf02f-47a1-47b4-b67e-8f27fa65c151
1,Iridescent Vinelasher,main,Bloomburrow,99,Near Mint,English,,,,,,b2bc854c-4e72-48e0-a098-e3451d6e511d
1,Knight of Dusk's Shadow,main,Dominaria United,96,Near Mint,English,,,,,,33dfd2fe-e0e0-465c-b730-a30e6f5c271c
1,Mortuary Mire,main,Fallout,272,Near Mint,English,,,,,,31b7472f-48f5-4ab5-8896-3eee29d13d59
1,Nested Shambler,main,Modern Horizons 2,399,Near Mint,English,,,,,,eb8595c6-5237-4ed1-98e4-8615bb0eb8e1
1,Orcish Bowmasters,main,The Lord of the Rings: Tales of Middle-earth,103,Near Mint,English,,,,,,7c024bae-5631-4e20-ac69-df392ac9e109
1,Overlord of the Balemurk,main,Promo Pack: Duskmourn: House of Horror,113,Near Mint,English,,,,,,d16af289-c74d-4b1f-a6cf-8aed30fa961c
1,Passageway Seer,main,Commander Legends: Battle for Baldur's Gate,141,Near Mint,English,,,,,,8aeee54a-5e16-4519-b04a-49eaaf896b9a
1,"Rankle, Master of Pranks",main,Commander Masters,180,Near Mint,English,,,,,,32399c54-632f-434e-bd5a-81b6a7c4fe9b
1,Ravenloft Adventurer,main,Commander Legends: Battle for Baldur's Gate,142,Near Mint,English,,,,,,a5e27c36-d883-4681-8430-b4d0ad7f1df0
1,Reanimate,main,Duskmourn: House of Horror Commander,155,Near Mint,English,,,,,,368b6903-5fc4-43e7-bd44-46b8107c8bb4
1,Sheoldred's Edict,main,Phyrexia: All Will Be One,108,Near Mint,English,foil,,,,,a9225cc3-90f0-448f-a8d9-7c6c2796d077
1,Skullclamp,main,Tarkir: Dragonstorm Commander,103,Near Mint,English,,,,,,b5bb89dd-9d31-49d9-ba54-4a04798e515e
1,Sol Ring,main,Media Inserts,218,Near Mint,English,,,,,,120e2b4b-afc7-4bf0-a09f-568e08f6bd8f
1,Spawn of Mayhem,main,Ravnica Allegiance,85,Near Mint,English,,,,,,8be01b8d-e0ef-44d1-ac97-39bb5a0e76be
1,Spymaster's Vault,main,Modern Horizons 3,358,Near Mint,English,foil,,,,,33535dbf-203b-44c9-be20-67fafa0927ee
1,Stitcher's Supplier,main,Tarkir: Dragonstorm Commander,196,Near Mint,English,,,,,,2edcde06-b326-476e-884d-770187c785fe
13,Swamp,main,Tarkir: Dragonstorm,281,,,,,,,,f0bfdb9e-318f-4acd-9fbd-41b98a8875d6
1,Thoughtseize,main,Breaking News,20,Near Mint,English,,,,,,5e85d5db-ced3-406d-90d2-e506a9332468
1,Troll of Khazad-dûm,main,The Lord of the Rings: Tales of Middle-earth,111,Near Mint,English,,,,,,a6539e26-b63b-4725-9407-caaf451de084
1,Undead Augur,main,Modern Horizons,112,Near Mint,English,,,,,,c6e3049e-9397-4bef-914b-e9664661419c
1,Village Rites,main,Strixhaven Mystical Archive,98,Near Mint,Japanese,,,,,,f9e6276c-0b80-4d11-b889-8a24b210c4f0
1,Witch's Cottage,main,Throne of Eldraine,249,Near Mint,English,,,,,,b87891cd-b457-4dff-8d18-a7eaf6748fc6
1,Cling to Dust,sideboard,Theros Beyond Death,87,Near Mint,English,,,,,,52c2de5f-e486-4cfe-9fb6-be0078ce5f93
1,Cuombajj Witches,sideboard,Commander Legends,646,Near Mint,English,,,,,,ca318a56-f13e-46cb-819d-2cf8a2b16f0e
1,Custodi Lich,sideboard,Streets of New Capenna Commander,244,Near Mint,English,,,,,,5d77f50f-f63d-47bd-8bf9-01febee315fd
1,Damping Sphere,sideboard,Dominaria,213,Near Mint,English,,,,,,a5c7d16b-8f4e-42b9-be24-3cb091932d7c
1,Faerie Macabre,sideboard,Shadowmoor,66,Near Mint,English,,,,,,ead8befa-27dd-4ec4-b317-1c231407e0ac
1,Gray Merchant of Asphodel,sideboard,Theros,89,Near Mint,English,,,,,,b06078ce-f534-4e16-9a70-d51620a33eb2
1,Long Goodbye,sideboard,Murders at Karlov Manor,92,Near Mint,English,,,,,,c3896705-bbd2-4ffb-a590-ee78e0eabdc5
1,Mind Twist,sideboard,Mystery Booster 2,184,Near Mint,English,,,,,,2d1bbd3c-c730-4912-b322-33c7b37fba3f
1,Misery's Shadow,sideboard,The Brothers' War,330,Good (Lightly Played),English,foil,,,,,75ed1ad1-f28b-4de3-8df6-ad5bdcf393c1
1,Nihil Spellbomb,sideboard,Masters 25,226,Near Mint,English,,,,,,e5892a23-efae-4731-9b8f-41c87960fe93
1,Ophiomancer,sideboard,Commander Collection: Black,3,Near Mint,English,,,,,,0ef8d3a2-5c6b-41e2-aa7d-81e4a5d04421
1,Skyclave Shade,sideboard,Zendikar Rising,298,Near Mint,English,,,,,,05347539-de61-4a37-929f-c909e65033f5
1,"Tourach, Dread Cantor",sideboard,Modern Horizons 2,312,Near Mint,English,,,,,,f5c38dc8-574b-4e53-9b60-8fbb64a29175
1,Unlicensed Hearse,sideboard,Breaking News,64,Near Mint,English,,,,,,5447a777-769d-4773-ab64-31c67e310e15
1,Vexing Bauble,sideboard,Modern Horizons 3,212,Near Mint,English,,,,,,29f11089-658f-42e6-aeb0-09b512ad2479
1,"Agadeem's Awakening // Agadeem, the Undercrypt",scratchpad,Zendikar Rising,90,,,,,,,,67f4c93b-080c-4196-b095-6a120a221988
1,Barren Moor,scratchpad,Onslaught,312,,,,,,,,45be3811-a223-4c45-9b24-0317f2d53c60
1,Cabal Coffers,scratchpad,Torment,139,,,,,,,,2b934c78-258e-4b1e-9783-ec9f734e8776
1,Cabal Stronghold,scratchpad,Dominaria,238,,,,,,,,0bda51ef-ee3e-48d4-92e2-c9083bbe0f80
1,Dread Fugue,scratchpad,Innistrad: Crimson Vow,107,,,,,,,,0ad4c472-b8ce-4ae0-a6f0-726ea74722c5
1,Leechridden Swamp,scratchpad,Duskmourn: House of Horror Commander,286,,,,,,,,a07a0e31-ace6-40ad-8700-2d58135b5320
1,Overlord of the Balemurk,scratchpad,Duskmourn: House of Horror,113,,,,,,,,9b911653-7b96-4cf3-a907-13c5c53a14f7
