Count,Name,Edition,Edition Code,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,Printing Id,Printing Note
1,Chord of Calling,"","",,,,,,,,,,,,
1,Deadly Plot,Jumpstart 2022,J22,22,,,,,,,,,,71215,
1,Dropkick Bomber,Foundations,fdn,537,,,,,,,,,,97714,
1,Exemplar of Light,Foundations,fdn,11,,,,,,,,,,97188,
1,Foil,"","",,,,,,,,,,,,UMA
5,Fury,"","",,,,,,,,,,,,
2,Golgari Guildgate,Foundations,fdn,689,,,foil,,,,,,,97866,
1,Massacre Wurm,Jumpstart 2022,J22,441,,,,,,,,,,71634,
1,"Muldrotha, the Gravetide",Double Masters 2022,2X2,384,,,,,,,,,,66687,
1,Sire of Seven Deaths,Foundations,fdn,292,,,,,,,,,,97469,
1,Spinner of Souls,Foundations,fdn,112,,,,,,,,,,97289,
1,Tree of Tales,"","",,,,,,,,,,,,

